,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
466,1999,4000,250000,33.88083333,27.225,3,18,2
467,2003,4000,250000,63.49083333,25.7175,3,18,2
468,2012,3000,258000,45.86166667,25.75541667,3,18,2
469,1998,4000,260000,47.61583333,26.00708333,3,18,2
470,1998,83000,271000,47.61583333,26.00708333,3,16,0
471,2000,4000,290000,53.16583333,26.38208333,3,18,2
472,1999,82000,302000,33.88083333,27.225,3,16,0
473,2002,5000,310000,40.61083333,27.21166667,3,18,2
474,2002,80000,312000,40.61083333,27.21166667,3,16,0
475,2001,81000,324000,49.18416667,26.37166667,3,16,0
476,2006,84000,340000,51.31083333,26.45958333,3,16,0
477,2006,85000,348000,51.31083333,26.45958333,3,21,1
478,2000,84000,350000,53.16583333,26.38208333,3,16,0
479,2005,85000,361000,53.77583333,25.74166667,3,16,0
480,2008,85000,363000,95.92416667,24.92833333,3,16,0
481,2003,83000,364000,63.49083333,25.7175,3,16,0
482,2010,87000,366000,73.59166667,26.16833333,3,16,0
483,2003,85000,367000,63.49083333,25.7175,3,21,1
484,2005,84000,369000,53.77583333,25.74166667,3,21,1
485,2001,5000,370000,49.18416667,26.37166667,3,18,2
486,2004,85000,371000,52.715,26.535,3,16,0
487,2008,85000,376000,95.92416667,24.92833333,3,21,1
488,2002,85000,379000,40.61083333,27.21166667,3,21,1
489,2007,84000,383000,48.4525,26.35916667,3,16,0
490,2012,86000,384000,45.86166667,25.75541667,3,16,0
491,2009,86000,391000,49.95833333,26.36416667,3,16,0
492,1998,85000,401000,47.61583333,26.00708333,3,21,1
493,2004,85000,417000,52.715,26.535,3,21,1
494,2010,85000,417000,73.59166667,26.16833333,3,21,1
495,2001,85000,418000,49.18416667,26.37166667,3,21,1
496,2009,85000,419000,49.95833333,26.36416667,3,21,1
